14D,20210322,0.23,0.23,0.195,0.195,245825,0
1AD,20210322,0.175,0.175,0.17,0.17,192300,0
1ADO,20210322,0.002,0.002,0.002,0.002,0,0
1AG,20210322,0.041,0.045,0.039,0.045,727267,0
1ST,20210322,0.03,0.03,0.03,0.03,269599,0
2BE,20210322,0.055,0.055,0.055,0.055,56052,0
2BEO,20210322,0.002,0.002,0.002,0.002,0,0
360,20210322,4.69,4.84,4.565,4.82,745057,0
3DA,20210322,0.72,0.725,0.675,0.69,541326,0
3DP,20210322,0.68,0.69,0.66,0.665,1585401,0
3MF,20210322,0.225,0.23,0.22,0.225,533836,0
3PL,20210322,1.24,1.275,1.215,1.25,33905,0
4CE,20210322,0.019,0.019,0.019,0.019,1848663,0
4DS,20210322,0.205,0.215,0.205,0.205,4555104,0
4DX,20210322,1.55,1.60,1.55,1.57,558165,0
5GG,20210322,0.70,0.70,0.655,0.655,641144,0
5GN,20210322,1.325,1.33,1.265,1.33,299183,0
88E,20210322,0.02,0.024,0.02,0.023,599675900,0
8CO,20210322,0.185,0.19,0.18,0.185,138477,0
8EC,20210322,0.00,0.00,0.00,0.00,0,0
8IH,20210322,0.22,0.22,0.20,0.20,164101,0
8VI,20210322,2.45,2.45,2.45,2.45,0,0
9SP,20210322,0.021,0.021,0.021,0.021,381863,0
A1G,20210322,0.29,0.29,0.29,0.29,116935,0
A1M,20210322,0.34,0.34,0.34,0.34,3000,0
A200,20210322,113.95,114.70,113.48,114.54,23869,0
A2B,20210322,1.13,1.145,1.13,1.145,3068,0
A2BJOA,20210322,0.645,0.655,0.645,0.655,0,0
A2M,20210322,8.51,8.55,8.37,8.43,3138562,0
A2MJCA,20210322,0.00,0.00,0.00,0.00,0,0
A2MJOD,20210322,2.80,2.80,2.80,2.80,0,0
A2MKCA,20210322,0.00,0.00,0.00,0.00,0,0
A2MKCB,20210322,0.00,0.00,0.00,0.00,0,0
A2MKCE,20210322,0.00,0.00,0.00,0.00,0,0
A2MKCF,20210322,0.00,0.00,0.00,0.00,0,0
A2MKCP,20210322,0.00,0.00,0.00,0.00,0,0
A2MKCQ,20210322,0.00,0.00,0.00,0.00,0,0
A2MKOG,20210322,2.41,2.41,2.41,2.41,0,0
A2MKOP,20210322,10.40,10.40,10.40,10.40,0,0
A2MKOQ,20210322,6.17,6.17,6.17,6.17,0,0
A2MKOS,20210322,11.28,11.28,11.28,11.28,0,0
A2MKOV,20210322,16.62,16.62,16.62,16.62,0,0
A3D,20210322,0.145,0.145,0.125,0.125,471935,0
A4N,20210322,0.535,0.535,0.49,0.50,257887,0
AAA,20210322,50.09,50.09,50.08,50.09,34111,0
AAC,20210322,1.16,1.195,1.16,1.17,520136,0
AAJ,20210322,0.057,0.057,0.057,0.057,100000,0
AAP,20210322,0.027,0.027,0.027,0.027,0,0
AAR,20210322,0.098,0.10,0.096,0.096,613242,0
AASF,20210322,3.02,3.02,3.02,3.02,2518,0
AAU,20210322,0.105,0.105,0.098,0.10,51210,0
ABA,20210322,6.50,6.52,6.47,6.51,5373,0
ABB,20210322,2.95,2.99,2.85,2.88,1725003,0
ABC,20210322,3.07,3.14,3.04,3.13,1044492,0
ABCKCA,20210322,0.00,0.00,0.00,0.00,0,0
ABCKCB,20210322,0.00,0.00,0.00,0.00,0,0
ABCKCQ,20210322,0.00,0.00,0.00,0.00,0,0
ABCKCR,20210322,0.00,0.00,0.00,0.00,0,0
ABCKOA,20210322,1.38,1.38,1.38,1.38,0,0
ABCKOB,20210322,1.75,1.75,1.75,1.75,0,0
ABCKOQ,20210322,0.695,0.695,0.695,0.695,0,0
ABCKOR,20210322,2.88,2.88,2.88,2.88,0,0
ABL,20210322,0.001,0.001,0.001,0.001,0,0
ABP,20210322,2.71,2.79,2.70,2.76,1000282,0
ABR,20210322,1.95,1.95,1.81,1.83,528587,0
ABV,20210322,0.046,0.046,0.045,0.045,14055,0
ABX,20210322,0.105,0.105,0.10,0.105,69255,0
ABY,20210322,5.36,5.36,5.17,5.18,21421,0
AC8,20210322,0.15,0.15,0.145,0.145,602304,0
ACB,20210322,0.069,0.069,0.063,0.067,1051131,0
ACDC,20210322,89.86,89.86,88.57,88.98,7195,0
ACF,20210322,0.365,0.375,0.365,0.37,161329,0
ACP,20210322,0.02,0.02,0.02,0.02,0,0
ACQ,20210322,1.695,1.695,1.66,1.69,40178,0
ACR,20210322,0.165,0.165,0.165,0.165,33300,0
ACS,20210322,0.095,0.095,0.095,0.095,0,0
ACU,20210322,0.13,0.13,0.13,0.13,13854,0
ACW,20210322,0.032,0.033,0.031,0.032,6378448,0
AD1,20210322,0.044,0.045,0.044,0.045,243571,0
AD8,20210322,7.51,7.55,7.21,7.42,200722,0
ADA,20210322,0.95,0.95,0.945,0.945,7885,0
ADD,20210322,0.045,0.051,0.041,0.043,7248762,0
ADEF,20210322,3.98,3.98,3.98,3.98,9065,0
ADH,20210322,3.98,4.11,3.96,4.06,830767,0
ADI,20210322,3.00,3.08,2.97,2.97,565415,0
ADN,20210322,0.40,0.40,0.362,0.37,12823174,0
ADO,20210322,0.25,0.27,0.245,0.25,16165965,0
ADOOA,20210322,0.23,0.23,0.23,0.23,100000,0
ADR,20210322,0.018,0.018,0.016,0.016,2623370,0
ADS,20210322,0.027,0.027,0.026,0.026,614260,0
ADT,20210322,2.20,2.20,2.04,2.04,422027,0
ADV,20210322,0.02,0.02,0.019,0.019,9849726,0
ADX,20210322,0.01,0.01,0.009,0.009,7736042,0
ADY,20210322,0.022,0.023,0.022,0.022,1575387,0
AEE,20210322,0.004,0.004,0.004,0.004,0,0
AEF,20210322,7.26,7.26,6.82,6.91,136240,0
