DTS,20161220,0,0,0,0,0
DTS,20161221,0.215,0.23,0.2,0.2,2643846
DTS,20161222,0.21,0.21,0.2,0.2,900214
DTS,20161223,0.195,0.21,0.195,0.21,520650
DTS,20161228,0.205,0.23,0.205,0.23,510976
DTS,20161229,0.23,0.24,0.23,0.24,254474
DTS,20161230,0.24,0.25,0.235,0.25,233976
DTS,20170103,0.245,0.26,0.245,0.25,310000
DTS,20170104,0.25,0.25,0.235,0.245,380750
DTS,20170105,0.24,0.24,0.235,0.24,227474
DTS,20170106,0.24,0.24,0.24,0.24,30100
DTS,20170109,0.235,0.235,0.23,0.23,147500
DTS,20170110,0.23,0.245,0.22,0.245,458733
DTS,20170111,0.25,0.255,0.25,0.25,655184
DTS,20170112,0.25,0.25,0.25,0.25,242200
DTS,20170113,0.24,0.25,0.24,0.25,196850
DTS,20170116,0.25,0.25,0.25,0.25,155000
DTS,20170117,0.25,0.25,0.25,0.25,0
DTS,20170118,0.24,0.24,0.22,0.23,141564
DTS,20170119,0.23,0.23,0.225,0.225,58000
DTS,20170120,0.225,0.225,0.2,0.22,195436
DTS,20170123,0.22,0.22,0.22,0.22,7500
DTS,20170124,0.22,0.22,0.21,0.215,407250
DTS,20170125,0.21,0.225,0.21,0.225,737311
DTS,20170127,0.255,0.27,0.255,0.27,59000
DTS,20170130,0.27,0.28,0.255,0.28,1252629
DTS,20170131,0.28,0.29,0.275,0.285,577010
DTS,20170201,0.285,0.3,0.285,0.3,280788
DTS,20170202,0.3,0.325,0.3,0.325,185000
DTS,20170203,0.335,0.35,0.32,0.33,672837
DTS,20170206,0.34,0.34,0.325,0.325,56060
DTS,20170207,0.33,0.33,0.3,0.32,280000
DTS,20170208,0.305,0.32,0.305,0.32,40000
DTS,20170209,0.31,0.31,0.305,0.31,293628
DTS,20170210,0.31,0.325,0.3,0.325,472000
DTS,20170213,0.3,0.3,0.3,0.3,67000
DTS,20170214,0.31,0.31,0.3,0.3,82068
DTS,20170215,0.3,0.315,0.3,0.315,230000
