14D,20220422,0.081,0.083,0.08,0.083,235533,0
1AD,20220422,0.074,0.074,0.071,0.071,220567,0
1AG,20220422,0.023,0.023,0.022,0.022,172413,0
1MC,20220422,0.035,0.039,0.034,0.038,71088663,0
1ST,20220422,0.01,0.01,0.01,0.01,0,0
1VG,20220422,0.165,0.165,0.165,0.165,0,0
29M,20220422,3.11,3.17,3.06,3.06,1025870,0
2BE,20220422,0.049,0.049,0.049,0.049,0,0
2BEO,20220422,0.002,0.002,0.002,0.002,0,0
360,20220422,5.13,5.27,5.05,5.24,375918,0
3DA,20220422,0.30,0.33,0.285,0.325,554916,0
3DP,20220422,0.265,0.265,0.255,0.265,109435,0
3MF,20220422,0.033,0.033,0.032,0.033,484975,0
3PL,20220422,1.575,1.605,1.575,1.605,7,0
4DS,20220422,0.115,0.132,0.115,0.125,22373195,0
4DX,20220422,0.75,0.78,0.75,0.77,210491,0
5EA,20220422,3.52,3.62,3.49,3.52,1691515,0
5GG,20220422,0.36,0.36,0.342,0.35,526830,0
88E,20220422,0.015,0.016,0.014,0.015,165982627,0
8CO,20220422,0.135,0.135,0.132,0.135,193107,0
8IH,20220422,0.13,0.13,0.13,0.13,0,0
8VI,20220422,2.30,2.30,2.30,2.30,741,0
92E,20220422,0.81,0.83,0.79,0.83,1006806,0
99L,20220422,0.029,0.03,0.029,0.03,79932,0
9SP,20220422,0.004,0.004,0.004,0.004,0,0
A1G,20220422,0.175,0.175,0.165,0.175,155234,0
A1M,20220422,0.65,0.675,0.65,0.67,28551,0
A200,20220422,128.00,128.00,127.00,127.33,69516,0
A2B,20220422,1.395,1.40,1.385,1.39,18935,0
A2M,20220422,4.65,4.67,4.58,4.58,2932175,0
A2MJOA,20220422,1.235,1.235,1.17,1.17,0,0
A2MJOB,20220422,2.41,2.41,2.41,2.41,0,0
A2MJOC,20220422,2.82,2.82,2.82,2.82,0,0
A2MKCA,20220422,0.00,0.00,0.00,0.00,0,0
A2MKCB,20220422,0.00,0.00,0.00,0.00,0,0
A2MKCD,20220422,0.00,0.00,0.00,0.00,0,0
A2MKCF,20220422,0.00,0.00,0.00,0.00,0,0
A2MKCP,20220422,0.00,0.00,0.00,0.00,0,0
A2MKCQ,20220422,0.00,0.00,0.00,0.00,0,0
A2MKOB,20220422,0.00,0.00,0.00,0.00,0,0
A2MKOE,20220422,1.13,1.13,1.13,1.13,0,0
A2MKOF,20220422,2.02,2.02,2.02,2.02,0,0
A2MKOP,20220422,4.25,4.25,4.25,4.25,0,0
A2MKOQ,20220422,5.44,5.44,5.44,5.44,0,0
A2MKOS,20220422,5.76,5.76,5.76,5.76,0,0
A2MKOV,20220422,5.51,5.56,5.51,5.56,0,0
A3D,20220422,0.063,0.063,0.061,0.062,140789,0
A4N,20220422,0.68,0.69,0.65,0.665,1923032,0
A8G,20220422,0.50,0.505,0.485,0.505,244186,0
AAA,20220422,50.07,50.08,50.07,50.08,27231,0
AAC,20220422,1.73,1.74,1.72,1.72,244442,0
AAJ,20220422,0.115,0.125,0.115,0.115,5880140,0
AAP,20220422,0.022,0.022,0.021,0.021,68440,0
AAR,20220422,0.095,0.095,0.09,0.095,1234899,0
AASF,20220422,3.61,3.61,3.54,3.57,87256,0
AAU,20220422,0.066,0.067,0.065,0.066,375641,0
AAUOB,20220422,0.018,0.018,0.018,0.018,111,0
ABA,20220422,7.05,7.05,7.00,7.02,13909,0
