1AD,20180411,0.295,0.295,0.295,0.295,0,0
1AG,20180411,0.064,0.064,0.06,0.06,776576,0
1AL,20180411,0.975,0.975,0.975,0.975,0,0
1PG,20180411,0.165,0.165,0.165,0.165,0,0
1ST,20180411,0.048,0.048,0.048,0.048,1589,0
3DP,20180411,0.071,0.072,0.07,0.072,404387,0
3PL,20180411,1.47,1.48,1.47,1.475,18579,0
4CE,20180411,0.081,0.083,0.081,0.081,838051,0
4DS,20180411,0.052,0.06,0.052,0.056,2689861,0
5GN,20180411,0.625,0.625,0.585,0.60,82337,0
88E,20180411,0.036,0.038,0.036,0.038,7273099,0
8CO,20180411,0.044,0.044,0.041,0.041,149250,0
8EC,20180411,0.875,0.875,0.875,0.875,20000,0
8IH,20180411,0.145,0.16,0.145,0.16,254288,0
9SP,20180411,0.055,0.055,0.052,0.052,63462,0
A1C,20180411,0.20,0.20,0.20,0.20,0,0
A2M,20180411,12.46,12.58,12.08,12.11,3989474,0
A2MJOA,20180411,0.00,0.00,0.00,0.00,0,0
A2MJOM,20180411,6.49,6.49,6.49,6.49,0,0
A2MJOO,20180411,4.51,4.51,4.23,4.23,4000,0
A2MKOA,20180411,9.51,9.51,9.51,9.51,0,0
A2MKOB,20180411,4.53,4.79,4.52,4.65,0,0
A2MKOC,20180411,9.28,9.28,9.28,9.28,0,0
A2MKOD,20180411,10.37,10.37,10.27,10.27,0,0
A2MKOE,20180411,0.93,0.93,0.93,0.93,0,0
A2MKOF,20180411,5.48,5.48,5.48,5.48,0,0
A2MKOG,20180411,6.25,6.25,6.25,6.25,0,0
A2MKOH,20180411,6.07,6.07,6.07,6.07,0,0
A2MKOI,20180411,6.25,6.25,6.25,6.25,0,0
A2MKOP,20180411,3.83,3.83,3.83,3.83,5000,0
A2MKOR,20180411,3.30,3.30,3.30,3.30,0,0
A2MKOS,20180411,5.38,5.38,5.38,5.38,0,0
A3D,20180411,0.55,0.575,0.55,0.57,26750,0
AAA,20180411,50.11,50.12,50.11,50.11,43598,0
AAC,20180411,1.17,1.195,1.17,1.175,789413,0
AACKOB,20180411,0.68,0.68,0.67,0.67,0,0
AACKOC,20180411,0.275,0.28,0.275,0.28,0,0
AAD,20180411,1.89,1.89,1.86,1.865,693186,0
AADKOA,20180411,0.775,0.775,0.775,0.775,0,0
AADKOC,20180411,0.435,0.435,0.435,0.435,0,0
AADKOD,20180411,0.585,0.585,0.585,0.585,0,0
AADKOE,20180411,0.48,0.48,0.48,0.48,0,0
AADKOF,20180411,0.00,0.00,0.00,0.00,0,0
AADKOP,20180411,1.285,1.285,1.285,1.285,0,0
AADKOR,20180411,0.515,0.53,0.515,0.525,0,0
AAJ,20180411,0.02,0.02,0.02,0.02,291002,0
AAL,20180411,0.00,0.00,0.00,0.00,0,0
AAP,20180411,0.03,0.03,0.03,0.03,0,0
AAR,20180411,0.083,0.086,0.083,0.086,178210,0
AAU,20180411,0.01,0.01,0.01,0.01,0,0
AB1,20180411,0.063,0.065,0.063,0.064,972699,0
ABA,20180411,5.45,5.63,5.45,5.63,76333,0
ABC,20180411,6.31,6.32,6.26,6.30,975210,0
ABCKOE,20180411,1.675,1.675,1.675,1.675,0,0
ABCKOQ,20180411,2.35,2.35,2.35,2.35,0,0
ABCKOR,20180411,0.00,0.00,0.00,0.00,0,0
ABL,20180411,0.008,0.008,0.008,0.008,0,0
ABP,20180411,3.55,3.58,3.54,3.55,507073,0
ABR,20180411,0.33,0.33,0.32,0.32,97566,0
ABT,20180411,0.335,0.335,0.325,0.33,37300,0
ABU,20180411,0.12,0.12,0.11,0.115,455160,0
ABV,20180411,0.005,0.005,0.005,0.005,0,0
ABW,20180411,0.55,0.55,0.55,0.55,0,0
ABX,20180411,0.11,0.11,0.11,0.11,0,0
AC8,20180411,1.445,1.48,1.445,1.45,395774,0
ACA01,20180411,0.00,0.00,0.00,0.00,0,0
ACA02,20180411,0.00,0.00,0.00,0.00,0,0
ACA03,20180411,0.00,0.00,0.00,0.00,0,0
ACA04,20180411,0.00,0.00,0.00,0.00,0,0
ACA05,20180411,0.00,0.00,0.00,0.00,0,0
ACB,20180411,0.069,0.069,0.069,0.069,0,0
ACC01,20180411,0.00,0.00,0.00,0.00,0,0
ACF,20180411,0.25,0.255,0.24,0.245,2079134,0
ACG,20180411,0.023,0.023,0.022,0.022,244812,0
ACL,20180411,0.011,0.011,0.011,0.011,300505,0
ACO,20180411,3.43,3.43,3.43,3.43,0,0
ACP,20180411,0.014,0.014,0.014,0.014,0,0
ACQ,20180411,1.11,1.11,1.10,1.10,20414,0
ACR,20180411,0.18,0.20,0.18,0.19,702237,0
ACS,20180411,0.027,0.027,0.027,0.027,0,0
ACU,20180411,0.015,0.015,0.015,0.015,0,0
ACW,20180411,0.046,0.049,0.046,0.048,2225642,0
ACWOB,20180411,0.02,0.02,0.019,0.019,1248333,0
ACXKOA,20180411,3.56,3.56,3.56,3.56,0,0
ACXKOC,20180411,4.91,4.91,4.91,4.91,0,0
ACXKOE,20180411,2.50,2.50,2.50,2.50,0,0
ACXKOP,20180411,1.885,1.885,1.885,1.885,0,0
ACXKOQ,20180411,1.66,1.66,1.66,1.66,0,0
ACXKOR,20180411,0.00,0.00,0.00,0.00,0,0
ACY01,20180411,0.00,0.00,0.00,0.00,0,0
ACY02,20180411,0.00,0.00,0.00,0.00,0,0
AD1,20180411,0.053,0.053,0.053,0.053,11533,0
AD8,20180411,3.23,3.25,3.19,3.19,25890,0
ADA,20180411,1.92,1.92,1.855,1.86,59447,0
ADD,20180411,0.012,0.012,0.012,0.012,0,0
ADH,20180411,1.895,1.895,1.85,1.87,2451703,0
ADJ,20180411,0.027,0.029,0.027,0.029,491406,0
ADN,20180411,0.007,0.007,0.007,0.007,0,0
ADNOB,20180411,0.003,0.003,0.003,0.003,0,0
ADO,20180411,0.015,0.015,0.015,0.015,0,0
ADR,20180411,0.11,0.12,0.11,0.12,188461,0
ADV,20180411,0.015,0.015,0.014,0.014,1110500,0
ADX,20180411,0.01,0.01,0.01,0.01,18000,0
ADY,20180411,0.013,0.015,0.013,0.015,154000,0
AEB,20180411,0.023,0.025,0.023,0.024,426500,0
AEBO,20180411,0.006,0.006,0.006,0.006,83500,0
AEE,20180411,0.023,0.023,0.022,0.022,3878343,0
AEF,20180411,125.00,125.00,125.00,125.00,128,0
AEG,20180411,1.055,1.055,1.04,1.04,38071,0
AEI,20180411,0.21,0.21,0.21,0.21,4750,0
AER,20180411,0.059,0.059,0.059,0.059,0,0
AET01,20180411,0.00,0.00,0.00,0.00,0,0
AET02,20180411,0.00,0.00,0.00,0.00,0,0
AET03,20180411,0.00,0.00,0.00,0.00,0,0
AET04,20180411,0.00,0.00,0.00,0.00,0,0
AET05,20180411,0.00,0.00,0.00,0.00,0,0
AET06,20180411,0.00,0.00,0.00,0.00,0,0
AET07,20180411,0.00,0.00,0.00,0.00,0,0
AET08,20180411,0.00,0.00,0.00,0.00,0,0
AEV,20180411,0.03,0.03,0.03,0.03,640000,0
AFA,20180411,0.16,0.16,0.16,0.16,0,0
AFG,20180411,1.48,1.52,1.46,1.51,199105,0
AFI,20180411,6.02,6.04,6.01,6.01,241603,0
AFIJOA,20180411,1.775,1.775,1.765,1.765,0,0
AFIJOZ,20180411,2.09,2.09,2.09,2.09,0,0
AFM01,20180411,0.00,0.00,0.00,0.00,0,0
AFP,20180411,2.30,2.30,2.30,2.30,0,0
AFR,20180411,0.027,0.027,0.025,0.025,139687,0
AFT,20180411,0.001,0.001,0.001,0.001,0,0
AFZ01,20180411,0.00,0.00,0.00,0.00,0,0
AFZ03,20180411,0.00,0.00,0.00,0.00,0,0
AFZ04,20180411,0.00,0.00,0.00,0.00,0,0
AFZ16,20180411,0.00,0.00,0.00,0.00,0,0
AFZ18,20180411,0.00,0.00,0.00,0.00,0,0
AFZ19,20180411,0.00,0.00,0.00,0.00,0,0
AFZ20,20180411,0.00,0.00,0.00,0.00,0,0
AFZ21,20180411,0.00,0.00,0.00,0.00,0,0
AFZ25,20180411,0.00,0.00,0.00,0.00,0,0
AFZ29,20180411,0.00,0.00,0.00,0.00,0,0
AFZ30,20180411,0.00,0.00,0.00,0.00,0,0
AFZ32,20180411,0.00,0.00,0.00,0.00,0,0
AGA01,20180411,0.00,0.00,0.00,0.00,0,0
AGD,20180411,0.13,0.13,0.13,0.13,0,0
AGE,20180411,0.008,0.008,0.008,0.008,0,0
AGEO,20180411,0.003,0.003,0.003,0.003,0,0
AGG,20180411,2.40,2.41,2.35,2.41,3775,0
AGI,20180411,1.92,1.95,1.91,1.91,11137,0
AGJ,20180411,0.044,0.044,0.044,0.044,0,0
AGL,20180411,21.07,21.07,20.69,20.96,2514251,0
AGLHA,20180411,103.35,103.65,103.35,103.65,2264,0
AGLIOB,20180411,9.33,9.33,9.33,9.33,0,0
AGLIOD,20180411,4.66,4.66,4.66,4.66,0,0
AGLISH,20180411,0.00,0.00,0.00,0.00,0,0
AGLISK,20180411,0.00,0.00,0.00,0.00,0,0
AGLISV,20180411,0.00,0.00,0.00,0.00,0,0
AGLJOA,20180411,0.00,0.00,0.00,0.00,0,0
AGLJOP,20180411,9.35,9.35,9.35,9.35,0,0
AGLJOQ,20180411,7.87,7.87,7.87,7.87,0,0
AGLKOA,20180411,2.20,2.41,2.20,2.41,12975,0
AGLKOB,20180411,1.13,1.13,1.13,1.13,0,0
AGLKOF,20180411,0.00,0.00,0.00,0.00,0,0
AGLKOG,20180411,3.30,3.30,3.30,3.30,5000,0
AGLKOP,20180411,3.65,3.65,3.51,3.51,5420,0
AGLKOQ,20180411,4.30,4.60,4.30,4.60,0,0
AGLKOT,20180411,5.58,5.58,5.58,5.58,1000,0
AGLSO1,20180411,15.28,15.30,15.28,15.30,0,0
AGLSO2,20180411,0.00,0.00,0.00,0.00,0,0
AGLSO3,20180411,9.12,9.12,8.87,8.87,0,0
AGLSOM,20180411,15.57,15.57,15.33,15.33,0,0
AGLSOP,20180411,11.34,11.34,11.34,11.34,0,0
AGLSSE,20180411,9.60,9.60,9.60,9.60,0,0
AGLSSJ,20180411,0.36,0.36,0.36,0.36,0,0
AGLSSY,20180411,0.125,0.125,0.125,0.125,0,0
AGLSWR,20180411,15.46,15.46,15.46,15.46,0,0
AGO,20180411,0.028,0.029,0.027,0.028,369463805,0
AGP01,20180411,0.00,0.00,0.00,0.00,0,0
AGP02,20180411,0.00,0.00,0.00,0.00,0,0
AGR,20180411,0.245,0.245,0.245,0.245,5000,0
AGS,20180411,0.13,0.135,0.13,0.13,34800,0
AGY,20180411,0.305,0.305,0.29,0.29,2283468,0
AHF,20180411,0.185,0.195,0.185,0.19,206304,0
AHG,20180411,3.46,3.50,3.39,3.40,384710,0
AHGKOB,20180411,1.375,1.375,1.375,1.375,0,0
AHGKOC,20180411,0.56,0.585,0.56,0.565,0,0
AHGKOP,20180411,0.00,0.00,0.00,0.00,0,0
AHGKOR,20180411,0.985,0.985,0.985,0.985,0,0
AHK,20180411,0.085,0.085,0.085,0.085,0,0
AHL,20180411,0.03,0.03,0.027,0.027,548085,0
AHN,20180411,0.06,0.06,0.06,0.06,275000,0
AHQ,20180411,0.052,0.052,0.051,0.051,869007,0
AHR,20180411,0.016,0.016,0.016,0.016,0,0
AHX,20180411,0.785,0.785,0.77,0.77,40501,0
AHY,20180411,1.27,1.285,1.27,1.28,1883149,0
AHZ,20180411,0.325,0.325,0.32,0.32,39087,0
AIA,20180411,6.09,6.11,6.06,6.10,64015,0
AIB,20180411,0.435,0.435,0.435,0.435,0,0
AIQ,20180411,0.091,0.091,0.091,0.091,0,0
AIR,20180411,0.065,0.065,0.065,0.065,0,0
AIS,20180411,0.14,0.15,0.14,0.15,141426,0
AIV,20180411,0.15,0.15,0.15,0.15,0,0
AIY,20180411,0.068,0.068,0.068,0.068,40825,0
AIZ,20180411,3.22,3.25,3.20,3.23,75173,0
AJC,20180411,0.001,0.001,0.001,0.001,520000,0
AJD,20180411,1.80,1.80,1.80,1.80,0,0
AJJ,20180411,0.105,0.105,0.105,0.105,0,0
AJL,20180411,0.365,0.365,0.345,0.345,203175,0
AJM,20180411,0.38,0.385,0.375,0.38,22411554,0
AJQ,20180411,0.083,0.083,0.082,0.082,90155,0
AJX,20180411,0.18,0.195,0.18,0.19,752107,0
AJY,20180411,0.12,0.12,0.12,0.12,0,0
AKF,20180411,0.041,0.041,0.041,0.041,0,0
AKG,20180411,0.46,0.46,0.46,0.46,0,0
AKM,20180411,0.008,0.009,0.008,0.009,2203531,0
AKMOA,20180411,0.004,0.004,0.004,0.004,500000,0
AKN,20180411,0.005,0.005,0.005,0.005,0,0
AKP,20180411,15.74,16.40,15.44,16.40,7545,0
AKPJOA,20180411,8.71,8.71,8.71,8.71,0,0
AL8,20180411,0.71,0.785,0.71,0.785,5699,0
ALC,20180411,0.04,0.04,0.039,0.039,72337,0
ALF,20180411,1.035,1.035,1.025,1.03,176018,0
ALH01,20180411,0.00,0.00,0.00,0.00,0,0
ALH02,20180411,0.00,0.00,0.00,0.00,0,0
ALH03,20180411,0.00,0.00,0.00,0.00,0,0
ALI,20180411,1.68,1.70,1.68,1.69,133225,0
ALK,20180411,0.285,0.285,0.28,0.28,214811,0
ALL,20180411,23.45,23.79,22.99,23.15,1780251,0
ALLIOB,20180411,0.00,0.00,0.00,0.00,0,0
ALLIOD,20180411,8.39,8.39,8.34,8.34,0,0
ALLJOA,20180411,11.44,11.44,11.44,11.44,0,0
ALLJOB,20180411,7.77,7.77,7.77,7.77,0,0
ALLJOC,20180411,0.00,0.00,0.00,0.00,0,0
ALLKOB,20180411,8.35,8.35,8.35,8.35,0,0
ALLKOC,20180411,3.25,3.25,2.90,2.90,5000,0
ALLKOD,20180411,3.64,3.70,3.64,3.70,5000,0
ALLKOG,20180411,13.20,13.97,13.20,13.97,0,0
ALLKOP,20180411,3.17,3.17,3.17,3.17,0,0
ALLKOQ,20180411,4.65,4.87,4.65,4.69,0,0
ALLKOR,20180411,5.93,5.93,5.93,5.93,0,0
ALLKOV,20180411,5.00,5.00,5.00,5.00,0,0
ALLSOP,20180411,13.59,13.59,13.59,13.59,0,0
ALQ,20180411,7.27,7.30,7.21,7.24,973647,0
ALQKOA,20180411,1.27,1.27,1.27,1.27,0,0
ALQKOB,20180411,2.08,2.08,2.08,2.08,0,0
ALQKOE,20180411,1.295,1.295,1.295,1.295,0,0
ALQKOF,20180411,1.925,1.925,1.905,1.905,0,0
ALQKOP,20180411,0.00,0.00,0.00,0.00,0,0
ALQKOR,20180411,3.27,3.27,3.27,3.27,0,0
ALQKOT,20180411,2.03,2.03,2.03,2.03,0,0
ALQKOU,20180411,0.00,0.00,0.00,0.00,0,0
ALR,20180411,1.205,1.205,1.205,1.205,8604,0
ALT,20180411,0.007,0.007,0.007,0.007,0,0
ALU,20180411,19.96,19.96,19.31,19.37,339627,0
ALUKOA,20180411,8.22,8.22,8.22,8.22,0,0
ALUKOB,20180411,5.73,5.86,5.70,5.83,0,0
ALY,20180411,0.022,0.023,0.021,0.021,814587,0
AMA,20180411,1.02,1.055,1.02,1.05,453532,0
AMB,20180411,0.16,0.16,0.16,0.16,0,0
AMC,20180411,14.23,14.27,14.08,14.15,1903235,0
AMCBOA,20180411,0.00,0.00,0.00,0.00,0,0
AMCBOQ,20180411,14.70,14.70,14.70,14.70,0,0
AMCBOR,20180411,15.21,15.21,15.21,15.21,0,0
AMCIOB,20180411,8.20,8.20,8.19,8.19,0,0
AMCIOD,20180411,0.00,0.00,0.00,0.00,0,0
AMCISI,20180411,7.70,7.70,7.70,7.70,0,0
AMCISK,20180411,0.00,0.00,0.00,0.00,0,0
AMCJOA,20180411,2.60,2.60,2.60,2.60,0,0
AMCJOZ,20180411,6.85,6.85,6.85,6.85,0,0
AMCKOA,20180411,2.20,2.20,2.20,2.20,0,0
AMCKOC,20180411,2.47,2.92,2.47,2.92,0,0
AMCKOF,20180411,0.00,0.00,0.00,0.00,0,0
AMCKOQ,20180411,3.12,3.22,3.12,3.22,0,0
AMCKOS,20180411,2.51,2.75,2.51,2.75,0,0
AMCSOP,20180411,7.12,7.12,7.12,7.12,0,0
AMCSSA,20180411,10.52,10.52,10.52,10.52,0,0
AMCSSE,20180411,4.59,4.65,4.59,4.65,0,0
AMCSSJ,20180411,0.00,0.00,0.00,0.00,0,0
AMCSSL,20180411,0.00,0.00,0.00,0.00,0,0
AMCSWR,20180411,7.78,7.78,7.78,7.78,0,0
AMD,20180411,0.029,0.03,0.029,0.03,756269,0
AMDOA,20180411,0.006,0.006,0.006,0.006,73350,0
AME,20180411,0.08,0.08,0.08,0.08,0,0
AMG,20180411,0.054,0.058,0.053,0.056,2101710,0
AMH,20180411,0.89,0.89,0.885,0.885,157154,0
AMI,20180411,0.40,0.405,0.39,0.39,905571,0
AML,20180411,0.285,0.285,0.275,0.28,1075705,0
AMN,20180411,0.825,0.825,0.825,0.825,0,0
AMO,20180411,0.14,0.14,0.14,0.14,0,0
AMP,20180411,4.82,4.83,4.72,4.72,9272934,0
AMPBOI,20180411,6.04,6.04,6.04,6.04,0,0
AMPBON,20180411,6.05,6.05,6.05,6.05,0,0
AMPBOS,20180411,0.00,0.00,0.00,0.00,0,0
AMPBOU,20180411,0.00,0.00,0.00,0.00,0,0
AMPHA,20180411,101.10,101.15,101.05,101.05,1342,0
AMPIOB,20180411,0.00,0.00,0.00,0.00,0,0
AMPIOC,20180411,0.00,0.00,0.00,0.00,0,0
AMPIOL,20180411,0.00,0.00,0.00,0.00,0,0
AMPISI,20180411,3.15,3.15,3.15,3.15,0,0
AMPISK,20180411,1.95,1.95,1.95,1.95,0,0
AMPJOA,20180411,3.00,3.00,3.00,3.00,0,0
AMPJOB,20180411,1.07,1.07,1.07,1.07,2000,0
AMPJOE,20180411,0.565,0.565,0.525,0.525,13000,0
AMPJOJ,20180411,1.16,1.175,1.16,1.175,0,0
AMPJON,20180411,1.69,1.69,1.69,1.69,0,0
AMPJOZ,20180411,2.64,2.64,2.64,2.64,0,0
AMPKOB,20180411,0.585,0.585,0.585,0.585,0,0
AMPKOC,20180411,0.75,0.75,0.75,0.75,6700,0
AMPKOD,20180411,1.03,1.03,1.03,1.03,0,0
AMPKOE,20180411,1.575,1.575,1.575,1.575,0,0
AMPKOG,20180411,0.575,0.575,0.575,0.575,0,0
AMPKOQ,20180411,1.015,1.015,1.015,1.015,0,0
AMPKOS,20180411,1.42,1.42,1.42,1.42,0,0
AMPKOT,20180411,1.915,1.915,1.915,1.915,0,0
AMPKOV,20180411,1.245,1.245,1.245,1.245,0,0
AMPLOA,20180411,0.21,0.21,0.205,0.205,0,0
AMPLOB,20180411,0.75,0.75,0.75,0.75,0,0
AMPLOC,20180411,1.005,1.005,1.005,1.005,0,0
AMPLOD,20180411,1.35,1.35,1.35,1.35,0,0
AMPLOP,20180411,0.57,0.57,0.57,0.57,0,0
AMPLOQ,20180411,0.00,0.00,0.00,0.00,0,0
AMPLOR,20180411,0.765,0.85,0.765,0.85,0,0
AMPLOU,20180411,0.485,0.485,0.485,0.485,0,0
AMPLOV,20180411,0.735,0.735,0.735,0.735,0,0
AMPPA,20180411,105.50,105.95,105.30,105.95,1495,0
AMPSMB,20180411,0.64,0.64,0.64,0.64,0,0
AMPSOG,20180411,2.71,2.71,2.71,2.71,0,0
AMPSOM,20180411,2.65,2.65,2.65,2.65,0,0
AMPSSA,20180411,2.45,2.45,2.45,2.45,0,0
AMPSSE,20180411,1.835,1.835,1.835,1.835,0,0
AMPSSJ,20180411,0.00,0.00,0.00,0.00,0,0
AMPSSL,20180411,0.00,0.00,0.00,0.00,0,0
AMPSWA,20180411,3.51,3.51,3.51,3.51,0,0
AMPSWR,20180411,1.95,1.95,1.95,1.95,3000,0
AMT,20180411,0.12,0.12,0.12,0.12,0,0
ANG,20180411,0.235,0.235,0.23,0.235,193379,0
ANL,20180411,0.015,0.016,0.014,0.016,1249276,0
ANN,20180411,25.31,25.56,25.28,25.44,258364,0
ANNKOB,20180411,5.41,5.41,5.41,5.41,0,0
ANNKOC,20180411,0.00,0.00,0.00,0.00,0,0
ANNKOP,20180411,0.00,0.00,0.00,0.00,0,0
ANNKOR,20180411,5.29,5.30,5.13,5.13,0,0
ANNSWR,20180411,11.69,11.69,11.69,11.69,0,0
ANNSWT,20180411,15.17,15.17,15.17,15.17,0,0
ANO,20180411,0.47,0.47,0.45,0.45,30072,0
ANP,20180411,0.032,0.032,0.03,0.03,35500,0
ANPOB,20180411,0.007,0.007,0.007,0.007,5000,0
ANQ,20180411,0.003,0.003,0.003,0.003,0,0
ANR,20180411,1.60,1.60,1.60,1.60,12500,0
ANS,20180411,0.013,0.013,0.012,0.012,20820207,0
ANT01,20180411,0.00,0.00,0.00,0.00,0,0
ANVHA,20180411,0.00,0.00,0.00,0.00,0,0
ANVHB,20180411,0.00,0.00,0.00,0.00,0,0
ANVHC,20180411,0.00,0.00,0.00,0.00,0,0
ANVHD,20180411,0.00,0.00,0.00,0.00,0,0
ANVHE,20180411,0.00,0.00,0.00,0.00,0,0
ANVHF,20180411,0.00,0.00,0.00,0.00,0,0
ANVHG,20180411,0.00,0.00,0.00,0.00,0,0
ANVHH,20180411,0.00,0.00,0.00,0.00,0,0
ANVHI,20180411,0.00,0.00,0.00,0.00,0,0
ANVHJ,20180411,0.00,0.00,0.00,0.00,0,0
ANVHK,20180411,0.00,0.00,0.00,0.00,0,0
ANVHL,20180411,0.00,0.00,0.00,0.00,0,0
ANVHM,20180411,0.00,0.00,0.00,0.00,0,0
ANW,20180411,0.017,0.021,0.017,0.02,9215874,0
ANZ,20180411,27.14,27.22,26.84,26.89,5151572,0
ANZBOA,20180411,26.97,26.97,26.97,26.97,0,0
ANZBOB,20180411,0.00,0.00,0.00,0.00,0,0
ANZBOI,20180411,31.45,31.45,31.40,31.40,0,0
ANZBOJ,20180411,35.67,35.67,35.67,35.67,0,0
ANZBON,20180411,31.96,31.96,31.96,31.96,0,0
ANZBOQ,20180411,30.72,30.72,30.72,30.72,0,0
ANZBOR,20180411,30.03,30.03,30.03,30.03,0,0
ANZHAQ,20180411,0.00,0.00,0.00,0.00,0,0
ANZHAR,20180411,0.00,0.00,0.00,0.00,0,0
ANZHAS,20180411,0.00,0.00,0.00,0.00,0,0
ANZHAT,20180411,0.00,0.00,0.00,0.00,0,0
ANZHAU,20180411,0.00,0.00,0.00,0.00,0,0
ANZHAV,20180411,0.00,0.00,0.00,0.00,0,0
ANZHAW,20180411,0.00,0.00,0.00,0.00,0,0
ANZIO1,20180411,12.55,12.55,12.55,12.55,0,0
ANZIO2,20180411,0.00,0.00,0.00,0.00,0,0
ANZIOA,20180411,12.20,12.20,12.20,12.20,0,0
ANZIOB,20180411,14.10,14.10,14.10,14.10,0,0
ANZIOC,20180411,8.02,8.02,8.02,8.02,0,0
ANZIOL,20180411,3.75,3.75,3.74,3.74,0,0
ANZISH,20180411,3.03,3.03,3.03,3.03,0,0
ANZISI,20180411,9.23,9.23,9.23,9.23,0,0
ANZISK,20180411,11.60,11.60,11.60,11.60,0,0
ANZISS,20180411,1.19,1.19,1.19,1.19,0,0
ANZIST,20180411,1.78,1.78,1.78,1.78,0,0
ANZISU,20180411,0.925,0.925,0.925,0.925,0,0
ANZISV,20180411,3.13,3.13,3.13,3.13,2000,0
ANZIWK,20180411,5.85,6.03,5.85,6.03,0,0
ANZIYE,20180411,11.00,11.00,11.00,11.00,0,0
ANZJOA,20180411,15.38,15.38,15.38,15.38,0,0
ANZJOB,20180411,0.00,0.00,0.00,0.00,0,0
ANZJOC,20180411,0.00,0.00,0.00,0.00,0,0
ANZJOE,20180411,4.58,4.58,4.58,4.58,218,0
ANZJOF,20180411,13.02,13.03,13.02,13.03,0,0
ANZJOG,20180411,5.40,5.40,5.40,5.40,0,0
ANZJOJ,20180411,8.36,8.36,8.36,8.36,0,0
ANZJOM,20180411,8.76,8.76,8.76,8.76,0,0
ANZJON,20180411,9.02,9.02,9.02,9.02,0,0
ANZJOZ,20180411,2.55,2.64,2.55,2.64,0,0
ANZKOB,20180411,0.00,0.00,0.00,0.00,0,0
ANZKOC,20180411,0.00,0.00,0.00,0.00,0,0
ANZKOG,20180411,4.27,4.27,4.27,4.27,150,0
ANZKOI,20180411,5.12,5.32,5.12,5.32,4000,0
ANZKOL,20180411,9.76,9.76,9.76,9.76,0,0
ANZKOM,20180411,7.54,7.62,7.53,7.56,0,0
ANZKON,20180411,10.13,10.13,10.13,10.13,0,0
ANZKOP,20180411,4.97,4.97,4.97,4.97,0,0
ANZKOR,20180411,2.43,2.43,2.43,2.43,0,0
ANZKOS,20180411,3.97,3.97,3.85,3.85,0,0
ANZKOU,20180411,10.92,10.92,10.92,10.92,0,0
ANZKOV,20180411,5.96,5.96,5.96,5.96,0,0
ANZKOW,20180411,0.00,0.00,0.00,0.00,0,0
ANZKOX,20180411,0.00,0.00,0.00,0.00,0,0
ANZLOA,20180411,0.975,1.13,0.975,1.11,0,0
ANZLOB,20180411,4.00,4.00,4.00,4.00,0,0
ANZLOC,20180411,1.34,1.34,1.34,1.34,365,0
ANZLOD,20180411,0.00,0.00,0.00,0.00,0,0
ANZLOF,20180411,1.99,2.06,1.91,1.91,30000,0
ANZLOL,20180411,0.88,0.89,0.88,0.89,0,0
ANZLOP,20180411,1.295,1.295,1.295,1.295,0,0
ANZLOQ,20180411,0.00,0.00,0.00,0.00,0,0
ANZLOT,20180411,2.69,2.69,2.69,2.69,0,0
ANZLOU,20180411,4.50,4.74,4.50,4.74,0,0
ANZLOV,20180411,3.57,3.57,3.57,3.57,0,0
