1AD,20180112,0.26,0.26,0.26,0.26,0,0
1AG,20180112,0.03,0.03,0.03,0.03,205000,0
1AL,20180112,0.96,0.96,0.96,0.96,0,0
1PG,20180112,0.165,0.165,0.165,0.165,0,0
1ST,20180112,0.055,0.055,0.055,0.055,65000,0
3DP,20180112,0.135,0.14,0.13,0.13,573095,0
3PL,20180112,1.565,1.595,1.565,1.575,66659,0
4CE,20180112,0.115,0.135,0.115,0.135,18188836,0
4DS,20180112,0.07,0.074,0.069,0.071,6661594,0
4WD,20180112,0.345,0.345,0.345,0.345,0,0
5GN,20180112,0.73,0.83,0.73,0.80,495815,0
88E,20180112,0.031,0.031,0.03,0.03,9070290,0
88EO,20180112,0.01,0.01,0.009,0.009,2380844,0
8CO,20180112,0.036,0.036,0.036,0.036,0,0
8EC,20180112,0.99,0.99,0.99,0.99,0,0
8IH,20180112,0.30,0.30,0.30,0.30,5000,0
9SP,20180112,0.071,0.073,0.071,0.071,107356,0
A1C,20180112,0.24,0.24,0.24,0.24,50060,0
A2M,20180112,7.10,7.17,7.02,7.02,4880396,0
A2MJOM,20180112,6.49,6.49,6.49,6.49,0,0
A2MJOO,20180112,1.55,1.56,1.55,1.56,0,0
A2MKOA,20180112,4.30,4.30,4.30,4.30,0,0
A2MKOC,20180112,4.95,4.95,4.95,4.95,0,0
A2MKOD,20180112,2.05,2.05,2.05,2.05,0,0
A2MKOE,20180112,0.93,0.93,0.93,0.93,0,0
A2MKOF,20180112,4.99,4.99,4.99,4.99,0,0
A2MKOG,20180112,2.43,2.43,2.42,2.42,0,0
A2MKOH,20180112,2.30,2.30,2.30,2.30,0,0
A2MKOI,20180112,1.485,1.485,1.475,1.475,30000,0
A2MKOP,20180112,1.40,1.40,1.40,1.40,0,0
A2MKOR,20180112,2.86,2.86,2.79,2.79,0,0
A2MKOS,20180112,2.52,2.61,2.52,2.61,0,0
A2MKOT,20180112,0.00,0.00,0.00,0.00,0,0
A3D,20180112,1.005,1.07,0.965,0.98,106089,0
AAA,20180112,50.11,50.12,50.11,50.11,73021,0
AAC,20180112,1.285,1.295,1.262,1.27,959024,0
AACKOB,20180112,0.68,0.68,0.67,0.67,0,0
AACKOC,20180112,0.00,0.00,0.00,0.00,0,0
AAD,20180112,1.985,2.01,1.977,1.995,719960,0
AADKOA,20180112,0.58,0.58,0.575,0.575,0,0
