1AD,20180329,0.34,0.34,0.34,0.34,0,0
1AG,20180329,0.056,0.056,0.05,0.051,603482,0
1AL,20180329,0.975,0.975,0.975,0.975,0,0
1PG,20180329,0.165,0.165,0.165,0.165,0,0
1ST,20180329,0.043,0.043,0.043,0.043,17623,0
3DP,20180329,0.071,0.072,0.071,0.072,112288,0
3PL,20180329,1.47,1.50,1.46,1.48,81037,0
4CE,20180329,0.094,0.098,0.093,0.093,3248425,0
4DS,20180329,0.071,0.073,0.069,0.069,1726899,0
5GN,20180329,0.64,0.65,0.625,0.63,158784,0
88E,20180329,0.035,0.035,0.034,0.035,7221869,0
8CO,20180329,0.048,0.048,0.048,0.048,0,0
8EC,20180329,0.91,0.91,0.91,0.91,5200,0
8IH,20180329,0.16,0.165,0.16,0.16,72505,0
9SP,20180329,0.055,0.055,0.055,0.055,22991,0
A1C,20180329,0.20,0.20,0.20,0.20,50004,0
A2M,20180329,11.60,11.79,11.26,11.46,10962209,0
A2MJOM,20180329,6.49,6.49,6.49,6.49,0,0
A2MJOO,20180329,5.26,5.26,5.26,5.26,0,0
A2MKOA,20180329,9.51,9.51,9.51,9.51,0,0
A2MKOB,20180329,4.05,4.34,3.99,4.15,130900,0
A2MKOC,20180329,9.28,9.28,9.28,9.28,1000,0
A2MKOD,20180329,10.37,10.37,10.27,10.27,0,0
A2MKOE,20180329,0.93,0.93,0.93,0.93,0,0
A2MKOF,20180329,5.48,5.48,5.48,5.48,0,0
A2MKOG,20180329,6.25,6.25,6.25,6.25,700,0
A2MKOH,20180329,6.52,6.82,6.52,6.82,0,0
A2MKOI,20180329,6.25,6.25,6.25,6.25,0,0
A2MKOJ,20180329,1.885,2.10,1.82,1.82,16464,0
A2MKOP,20180329,4.92,4.99,4.78,4.99,82250,0
A2MKOR,20180329,6.79,6.79,6.79,6.79,0,0
A2MKOS,20180329,4.53,4.53,4.53,4.53,0,0
A3D,20180329,0.60,0.60,0.595,0.595,30025,0
AAA,20180329,50.15,50.16,50.15,50.15,33588,0
AAC,20180329,1.16,1.19,1.145,1.185,1719458,0
AACKOB,20180329,0.68,0.68,0.67,0.67,0,0
AACKOC,20180329,0.275,0.28,0.275,0.28,90651,0
AAD,20180329,1.86,1.865,1.83,1.845,941069,0
AADKOA,20180329,0.775,0.775,0.775,0.775,0,0
AADKOC,20180329,0.435,0.435,0.435,0.435,0,0
AADKOD,20180329,0.585,0.585,0.585,0.585,0,0
AADKOE,20180329,0.48,0.48,0.48,0.48,0,0
AADKOF,20180329,0.00,0.00,0.00,0.00,0,0
AADKOP,20180329,1.285,1.285,1.285,1.285,0,0
AADKOR,20180329,0.515,0.53,0.515,0.525,0,0
AAJ,20180329,0.023,0.023,0.021,0.021,954604,0
AAL,20180329,0.00,0.00,0.00,0.00,0,0
AAP,20180329,0.03,0.03,0.03,0.03,0,0
AAR,20180329,0.079,0.08,0.079,0.08,383478,0
AAU,20180329,0.009,0.009,0.009,0.009,0,0
AB1,20180329,0.065,0.065,0.063,0.063,2111948,0
ABA,20180329,5.41,5.50,5.41,5.50,6351,0
ABC,20180329,6.20,6.24,6.09,6.22,2288740,0
ABCKOB,20180329,0.76,0.76,0.76,0.76,0,0
ABCKOE,20180329,1.675,1.675,1.675,1.675,0,0
ABCKOQ,20180329,2.35,2.35,2.35,2.35,0,0
ABCKOR,20180329,0.00,0.00,0.00,0.00,0,0
ABL,20180329,0.007,0.007,0.007,0.007,335690,0
ABP,20180329,3.47,3.52,3.46,3.47,446192,0
ABR,20180329,0.35,0.36,0.35,0.36,4450,0
ABT,20180329,0.375,0.395,0.37,0.395,43720,0
ABU,20180329,0.12,0.12,0.115,0.12,353230,0
ABV,20180329,0.005,0.005,0.005,0.005,100000,0
ABW,20180329,0.55,0.55,0.55,0.55,0,0
ABX,20180329,0.125,0.125,0.105,0.11,397276,0
AC8,20180329,1.62,1.62,1.55,1.565,502089,0
ACA01,20180329,0.00,0.00,0.00,0.00,0,0
ACA02,20180329,0.00,0.00,0.00,0.00,0,0
ACA03,20180329,0.00,0.00,0.00,0.00,0,0
ACA04,20180329,0.00,0.00,0.00,0.00,0,0
ACA05,20180329,0.00,0.00,0.00,0.00,0,0
ACB,20180329,0.068,0.069,0.068,0.069,3077866,0
ACC01,20180329,0.00,0.00,0.00,0.00,0,0
ACF,20180329,0.00,0.00,0.00,0.00,0,0
ACG,20180329,0.023,0.024,0.022,0.023,1166191,0
ACL,20180329,0.012,0.012,0.012,0.012,245661,0
ACO,20180329,3.43,3.43,3.43,3.43,0,0
ACP,20180329,0.014,0.014,0.014,0.014,0,0
ACQ,20180329,1.135,1.135,1.13,1.13,5106,0
ACR,20180329,0.165,0.165,0.16,0.16,116360,0
ACS,20180329,0.015,0.015,0.015,0.015,15000,0
ACU,20180329,0.015,0.015,0.015,0.015,0,0
ACW,20180329,0.049,0.049,0.047,0.047,1108731,0
ACWOB,20180329,0.02,0.023,0.02,0.023,380000,0
ACX,20180329,7.79,7.79,7.79,7.79,0,0
ACXKOA,20180329,3.56,3.56,3.56,3.56,0,0
ACXKOC,20180329,4.91,4.91,4.91,4.91,0,0
ACXKOE,20180329,2.50,2.50,2.50,2.50,0,0
ACXKOP,20180329,1.885,1.885,1.885,1.885,0,0
ACXKOQ,20180329,1.66,1.66,1.66,1.66,0,0
ACXKOR,20180329,0.00,0.00,0.00,0.00,0,0
ACY01,20180329,0.00,0.00,0.00,0.00,0,0
ACY02,20180329,0.00,0.00,0.00,0.00,0,0
AD1,20180329,0.081,0.081,0.081,0.081,0,0
AD8,20180329,3.20,3.21,3.18,3.21,37519,0
ADA,20180329,2.05,2.05,1.95,1.99,148406,0
ADD,20180329,0.012,0.012,0.012,0.012,0,0
ADH,20180329,1.935,1.962,1.92,1.935,115978,0
ADJ,20180329,0.03,0.03,0.028,0.028,690308,0
ADN,20180329,0.008,0.008,0.008,0.008,166256,0
